Category,Variable,Pos,Neg,SQL_calc
Financial,INC_CHILDSUPPORT_EXIT,receiving child support (at exit),not receiving child support (at exit),case when CCI_X.Verified_Answer = 0 then 0 else CCI_X.ChildSupport end Inc_ChildSupport_Exit
Financial,INC_ALIMONY_EXIT,receiving alimony or other spousal support (at exit),not receiving alimony or other spousal support (at exit),case when CCI_X.Verified_Answer = 0 then 0 else CCI_X.Alimony end Inc_Alimony_Exit
Financial,INC_OTHERSOURCE_EXIT,"receiving income from an ""other"" source (at exit)","not receiving income from an ""other"" source (at exit)",case when CCI_X.Verified_Answer = 0 then 0 else CCI_X.OtherSource end Inc_OtherSource_Exit
Financial,BEN_ANY_EXIT,having any benefits source (at exit),not having any benefits source (at exit),"case when CNB_X.Verified_Answer in (1,0) then CNB_X.Verified_Answer end Ben_Any_Exit"
Financial,BEN_ONE_EXIT,having one benefits source (at exit),not having one benefits source (at exit),case when CNB_X.SNAP + CNB_X.Medicaid + CNB_X.Medicare + CNB_X.SCHIP + CNB_X.SSNP + CNB_X.VAMS + CNB_X.TANFCC + CNB_X.TANFTRAN + CNB_X.TANFOther + CNB_X.OngoingRentAssist + CNB_X.Other + CNB_X.RentTemp = 1 then 1 when CNB_X.SNAP + CNB_X.Medicaid + CNB_X.Medicare + CNB_X.SCHIP + CNB_X.SSNP + CNB_X.VAMS + CNB_X.TANFCC + CNB_X.TANFTRAN + CNB_X.TANFOther + CNB_X.OngoingRentAssist + CNB_X.Other + CNB_X.RentTemp != 1 or CNB_X.Verified_Answer = 0 then 0 end Ben_One_Exit
Financial,BEN_MULTIPLE_EXIT,having multiple benefits sources (at exit),not having multiple benefits sources (at exit),case when CNB_X.SNAP + CNB_X.Medicaid + CNB_X.Medicare + CNB_X.SCHIP + CNB_X.SSNP + CNB_X.VAMS + CNB_X.TANFCC + CNB_X.TANFTRAN + CNB_X.TANFOther + CNB_X.OngoingRentAssist + CNB_X.Other + CNB_X.RentTemp > 1 then 1 when CNB_X.SNAP + CNB_X.Medicaid + CNB_X.Medicare + CNB_X.SCHIP + CNB_X.SSNP + CNB_X.VAMS + CNB_X.TANFCC + CNB_X.TANFTRAN + CNB_X.TANFOther + CNB_X.OngoingRentAssist + CNB_X.Other + CNB_X.RentTemp <= 1 or CNB_X.Verified_Answer = 0 then 0 end Ben_Multiple_Exit
Financial,BEN_SNAP_EXIT,receiving SNAP benefits (at exit),not receiving SNAP benefits (at exit),case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.SNAP end Ben_SNAP_Exit
Financial,BEN_MEDICAID_EXIT,receiving MEDICAID benefits (at exit),not receiving MEDICAID benefits (at exit),case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.Medicaid end Ben_Medicaid_Exit
Financial,BEN_MEDICARE_EXIT,receiving MEDICARE benefits (at exit),not receiving MEDICARE benefits (at exit),case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.Medicare end Ben_Medicare_Exit
Financial,BEN_SCHIP_EXIT,receiving State Health Insurance Program benefits (at exit),not receiving State Health Insurance Program benefits (at exit),case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.SCHIP end Ben_SCHIP_Exit
Financial,BEN_SSNP_EXIT,receiving WIC benefits (at exit),not receiving WIC benefits (at exit),case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.SSNP end Ben_SSNP_Exit
Financial,BEN_VAMS_EXIT,receiving VA medical services (at exit),not receiving VA medical services (at exit),case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.VAMS end Ben_VAMS_Exit
Financial,BEN_TANFCC_EXIT,receiving TANF Child Care services (at exit),not receiving TANF Child Care services (at exit),case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.TANFCC end Ben_TANFCC_Exit
Financial,BEN_TANFTRAN_EXIT,receiving TANF transportation services (at exit),not receiving TANF transportation services (at exit),case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.TANFTRAN end Ben_TANFTRAN_Exit
Financial,BEN_TANFOTHER_EXIT,"receiving ""other"" TANF-funded services (at exit)","not receiving ""other"" TANF-funded services (at exit)",case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.TANFOther end Ben_TANFOther_Exit
Financial,BEN_RENTASSIST_EXIT,receiving ongoing rental assistance (at exit),not receiving onnot going rental assistance (at exit),case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.OngoingRentAssist end Ben_RentAssist_Exit
Financial,BEN_OTHER_EXIT,"receiving benefits from an ""other"" source (at exit)","not receiving benefits from an ""other"" source (at exit)",case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.Other end Ben_Other_Exit
Financial,BEN_RENTTEMP_EXIT,receiving temporary rental assistance (at exit),not receiving temporary rental assistance (at exit),case when CNB_X.Verified_Answer = 0 then 0 else CNB_X.RentTemp end Ben_RentTemp_Exit
Enrollment,DEST_PERMANENT,going to a permanent housing destination at exit,not going to a permanent housing destination at exit,"case when Destination_Code in (120, 119, 117, 118, 116, 113, 23, 22, 21, 20, 19, 11, 10, 3) then 1 else 0 end Dest_Permanent"
Enrollment,DEST_TEMPORARY,going to a temporary housing destination at exit,not going to a temporary housing destination at exit,"case when Destination_Code in (807, 806, 122, 14, 13, 12) then 1 else 0 end Dest_Temporary"
Enrollment,DEST_INSTITUTIONAL,going to an institutional destination at exit,not going to an institutional destination at exit,"case when Destination_Code in (4, 5, 6, 7, 15, 106, 107, 109) then 1 else 0 end Dest_Institutional"
Enrollment,DEST_HOMELESS,going to a homeless destination at exit,not going to a homeless destination at exit,"case when Destination_Code in (110, 16, 2, 1, 111, 121) then 1 else 0 end Dest_Homeless"
Enrollment,DEST_UNKNOWN,going to an unknown destination at exit,not going to an unknown destination at exit,"case when Destination_Code is null or Destination_Code in (8,9,17) then 1 else 0 end Dest_Unknown"
Location,Rural,exiting a program located in a rural county,exiting a program not located in a rural county,
